Initialising trial 0, Alpha policy = 2.551143781407052e-07, Alpha baseline = 1.0116644596465963e-13

Initialising trial 1, Alpha policy = 3.3954377544006882e-09, Alpha baseline = 4.27320369530231e-08

Initialising trial 2, Alpha policy = 3.986949587935882e-09, Alpha baseline = 2.770795178243995e-09

Initialising trial 3, Alpha policy = 1.0928297286816009e-10, Alpha baseline = 5.705530231360086e-10

[I 2019-11-13 23:55:54,718] Finished trial#2 resulted in value: -9431.370479731391. Current best value is -7581.6913567601305 with parameters: {'alpha_policy': 3.3954377544006882e-09, 'alpha_baseline': 4.27320369530231e-08}.

Trial 7, Step: 10	Avg: -9379.796623263503	Alpha_policy: 4.939271468942799e-09	Alpha_baseline: 2.682601848479734e-12
Trial 6, Step: 10	Avg: -10000.0	Alpha_policy: 2.486807922701063e-08	Alpha_baseline: 2.2087997191278317e-07
Trial 1, Step: 240	Avg: -9793.333796657374	Alpha_policy: 2.490642228353733e-07	Alpha_baseline: 9.876723697363558e-14
Trial 7, Step: 20	Avg: -8893.36879217299	Alpha_policy: 4.934334419553408e-09	Alpha_baseline: 2.6799204534802304e-12
Trial 7, Step: 30	Avg: -8428.722739892968	Alpha_policy: 4.929402304992327e-09	Alpha_baseline: 2.6772417386694207e-12
Trial 5, Step: 70	Avg: -10000.0	Alpha_policy: 3.2634110236918626e-13	Alpha_baseline: 2.5793053868191643e-11
Trial 7, Step: 40	Avg: -8001.097990053972	Alpha_policy: 4.924475120326948e-09	Alpha_baseline: 2.674565701368321e-12
Trial 1, Step: 250	Avg: -9813.094790186806	Alpha_policy: 2.4881527066155583e-07	Alpha_baseline: 9.866851417006859e-14
Initialising trial 7, Alpha policy = 1.0421143796438824e-12, Alpha baseline = 5.7434792013531885e-08
[I 2019-11-13 23:58:56,884]
 Finished trial#0 resulted in value: -9813.094790186806. Current best value is -7581.6913567601305 with parameters: {'alpha_policy': 3.3954377544006882e-09, 'alpha_baseline': 4.27320369530231e-08}.
Trial 7, Step: 50	Avg: -7521.274513300182	Alpha_policy: 4.919552860629593e-09	Alpha_baseline: 2.6718923389006264e-12
Trial 6, Step: 20	Avg: -10000.0	Alpha_policy: 2.4843222335435626e-08	Alpha_baseline: 2.2065919131035686e-07
Trial 8, Step: 10	Avg: -9401.786703352565	Alpha_policy: 1.0410727340906777e-12	Alpha_baseline: 5.7377383060283796e-08
Trial 7, Step: 60	Avg: -7205.772827809055	Alpha_policy: 4.914635520977508e-09	Alpha_baseline: 2.6692216485927076e-12
Trial 8, Step: 20	Avg: -8836.39239149126	Alpha_policy: 1.0400321297144103e-12	Alpha_baseline: 5.7320031490161806e-08
Trial 7, Step: 70	Avg: -6805.095596854331	Alpha_policy: 4.9097230964528635e-09	Alpha_baseline: 2.6665536277736063e-12
Trial 8, Step: 30	Avg: -8297.823790808208	Alpha_policy: 1.0389925654743725e-12	Alpha_baseline: 5.7262737245808624e-08
Trial 5, Step: 80	Avg: -10000.0	Alpha_policy: 3.2601490808115916e-13	Alpha_baseline: 2.5767272418103065e-11
Trial 7, Step: 80	Avg: -6492.777727935116	Alpha_policy: 4.904815582142741e-09	Alpha_baseline: 2.6638882737750357e-12
Trial 7, Step: 90	Avg: -6132.959890102436	Alpha_policy: 4.899912973139136e-09	Alpha_baseline: 2.6612255839313734e-12
Trial 8, Step: 40	Avg: -7822.601501526358	Alpha_policy: 1.0379540403308953e-12	Alpha_baseline: 5.720550026992425e-08
Trial 6, Step: 30	Avg: -10000.0	Alpha_policy: 2.4818390289569585e-08	Alpha_baseline: 2.2043863138920814e-07
Trial 8, Step: 50	Avg: -7433.785200380792	Alpha_policy: 1.03691655324535e-12	Alpha_baseline: 5.7148320505266e-08
Trial 7, Step: 100	Avg: -5949.784476493186	Alpha_policy: 4.895015264538949e-09	Alpha_baseline: 2.6585655555796635e-12
Trial 8, Step: 60	Avg: -7010.541569603583	Alpha_policy: 1.0358801031801456e-12	Alpha_baseline: 5.7091197894648366e-08
Trial 7, Step: 110	Avg: -5725.092462931996	Alpha_policy: 4.8901224514439815e-09	Alpha_baseline: 2.6559081860596115e-12
Trial 8, Step: 70	Avg: -6613.359315042017	Alpha_policy: 1.0348446890987282e-12	Alpha_baseline: 5.703413238094302e-08
Trial 5, Step: 90	Avg: -10000.0	Alpha_policy: 3.2568903984067173e-13	Alpha_baseline: 2.5741516737866015e-11
Trial 7, Step: 120	Avg: -5544.213143896338	Alpha_policy: 4.88523452896093e-09	Alpha_baseline: 2.6532534727135825e-12
Trial 8, Step: 80	Avg: -6363.288968397102	Alpha_policy: 1.0338103099655798e-12	Alpha_baseline: 5.697712390707875e-08
Trial 7, Step: 130	Avg: -5347.059894251003	Alpha_policy: 4.880351492201383e-09	Alpha_baseline: 2.650601412886597e-12
Trial 6, Step: 40	Avg: -10000.0	Alpha_policy: 2.479358306457797e-08	Alpha_baseline: 2.2021829192875507e-07
Trial 7, Step: 140	Avg: -5160.674601153389	Alpha_policy: 4.8754733362818135e-09	Alpha_baseline: 2.64795200392633e-12
Trial 8, Step: 90	Avg: -6228.982321843109	Alpha_policy: 1.0327769647462183e-12	Alpha_baseline: 5.692017241604138e-08
Trial 8, Step: 100	Avg: -5904.131011457413	Alpha_policy: 1.0317446524071948e-12	Alpha_baseline: 5.68632778508737e-08
Trial 7, Step: 150	Avg: -5050.152167760439	Alpha_policy: 4.870600056323579e-09	Alpha_baseline: 2.6453052431831075e-12
Trial 8, Step: 110	Avg: -5614.2005706379305	Alpha_policy: 1.0307133719160935e-12	Alpha_baseline: 5.680644015467546e-08
Trial 8, Step: 120	Avg: -5294.657888195992	Alpha_policy: 1.0296831222415309e-12	Alpha_baseline: 5.674965927060327e-08
Trial 7, Step: 160	Avg: -4888.837193887506	Alpha_policy: 4.8657316474529116e-09	Alpha_baseline: 2.642661128009903e-12
Trial 5, Step: 100	Avg: -10000.0	Alpha_policy: 3.2536349732182317e-13	Alpha_baseline: 2.5715786801722242e-11
Trial 8, Step: 130	Avg: -5071.930497212501	Alpha_policy: 1.028653902353154e-12	Alpha_baseline: 5.6692935141870573e-08
Trial 7, Step: 170	Avg: -4771.6936200241735	Alpha_policy: 4.860868104800915e-09	Alpha_baseline: 2.6400196557623373e-12
Trial 7, Step: 180	Avg: -4628.382299327747	Alpha_policy: 4.85600942350356e-09	Alpha_baseline: 2.637380823798673e-12
Trial 8, Step: 140	Avg: -4954.467656834167	Alpha_policy: 1.0276257112216403e-12	Alpha_baseline: 5.663626771174755e-08
Trial 6, Step: 50	Avg: -10000.0	Alpha_policy: 2.4768800635651065e-08	Alpha_baseline: 2.1999817270863613e-07
Trial 7, Step: 190	Avg: -4460.38042618951	Alpha_policy: 4.851155598701677e-09	Alpha_baseline: 2.6347446294798155e-12
Trial 8, Step: 150	Avg: -4761.850456899903	Alpha_policy: 1.026598547818695e-12	Alpha_baseline: 5.6579656923561114e-08
Trial 7, Step: 200	Avg: -4342.147932430635	Alpha_policy: 4.846306625540958e-09	Alpha_baseline: 2.632111070169305e-12
